Provinsi,Jumlah Sekolah SD (Negeri),Jumlah Sekolah SD (Swasta),Jumlah Sekolah SD (Negeri+Swasta),Jumlah Guru SD (Negeri),Jumlah Guru SD (Swasta),Jumlah Guru SD (Negeri+Swasta),Jumlah Murid SD (Negeri),Jumlah Murid SD (Swasta),Jumlah Murid SD (Negeri+Swasta)
Aceh,3336,207,3543,47184,2809,49993,453928,40154,494082
Sumatera Utara,8116,1631,9747,93958,19337,113295,1149616,346857,1496473
Sumatera Barat,3892,327,4219,44375,4926,49301,512533,73064,585597
Riau,3232,605,3837,45182,9177,54359,626689,146184,772873
Jambi,2302,172,2474,26885,2203,29088,331425,36401,367826
Sumatera Selatan,4250,489,4739,55364,6082,61446,790920,92261,883181
Bengkulu,1289,119,1408,15928,1769,17697,171467,23246,194713
Lampung,4295,447,4742,51992,5662,57654,711692,86276,797968
Kepulauan Bangka Belitung,761,71,832,8816,1008,9824,142879,16775,159654
Kepulauan Riau,683,305,988,9512,4871,14383,153988,73836,227824
DKI Jakarta,1305,918,2223,23525,15462,38987,534084,212135,746219
Jawa Barat,16980,2558,19538,176060,38508,214568,3892560,620397,4512957
Jawa Tengah,17254,1343,18597,149403,17716,167119,2259455,319228,2578683
DI Yogyakarta,1418,423,1841,14689,5492,20181,182927,83347,266274
Jawa Timur,16864,2111,18975,156671,25269,181940,2097016,404776,2501792
Banten,3853,799,4652,46195,12457,58652,1020399,202372,1222771
Bali,2251,156,2407,23048,2755,25803,338502,43992,382494
Nusa Tenggara Barat,3008,344,3352,42820,3273,46093,474323,43262,517585
Nusa Tenggara Timur,3415,1832,5247,41144,15609,56753,411297,242072,653369
Kalimantan Barat,4139,316,4455,37706,3581,41287,493992,64197,558189
Kalimantan Tengah,2412,241,2653,24445,2635,27080,231066,45359,276425
Kalimantan Selatan,2737,186,2923,28001,2413,30414,315349,35716,351065
Kalimantan Timur,1664,280,1944,23145,3961,27106,352693,70396,423089
Kalimantan Utara,437,49,486,5552,651,6203,70242,10486,80728
Sulawesi Utara,1349,861,2210,14897,5529,20426,137150,82629,219779
Sulawesi Tengah,2676,273,2949,27928,2111,30039,287380,28740,316120
Sulawesi Selatan,6071,381,6452,65769,5255,71024,802533,76723,879256
Sulawesi Tenggara,2265,87,2352,28657,860,29517,282647,14089,296736
Gorontalo,897,36,933,8400,332,8732,103294,5077,108371
Sulawesi Barat,1296,32,1328,14826,334,15160,138333,5114,143447
Maluku,1299,537,1836,15827,3383,19210,148643,55552,204195
Maluku Utara,1116,202,1318,12514,1182,13696,118093,22598,140691
Papua Barat,412,162,574,4302,1412,5714,48552,22759,71311
Papua Barat Daya,305,249,554,3838,1612,5450,36044,24564,60608
Papua,515,335,850,5195,2694,7889,70293,47619,117912
Papua Selatan,377,241,618,3098,1568,4666,57447,39392,96839
Papua Tengah,295,265,560,3230,2309,5539,71294,73273,144567
Papua Pegunungan,518,160,678,3551,1025,4576,112406,34363,146769
Indonesia,129284,19750,149034,1403632,237232,1640864,20133151,3865281,23998432
