38 Province,,,
,Illiteracy Rate of Population Aged 10 Years and Over by Province and Sex (Percent),,
,Male,Female,Male+Female
,2024,2024,2024
ACEH,1.1,1.91,1.51
SUMATERA UTARA,0.48,1.2,0.84
SUMATERA BARAT,0.45,0.79,0.62
RIAU,0.43,1.03,0.73
JAMBI,1.04,2.58,1.8
SUMATERA SELATAN,0.86,1.57,1.21
BENGKULU,1.17,2.77,1.95
LAMPUNG,1.7,3.19,2.43
KEP. BANGKA BELITUNG,0.86,2.53,1.67
KEP. RIAU,0.67,0.97,0.82
DKI JAKARTA,0.23,0.5,0.37
JAWA BARAT,0.92,1.71,1.31
JAWA TENGAH,3.18,6.89,5.05
DI YOGYAKARTA,2.15,5.97,4.09
JAWA TIMUR,3.83,7.02,5.45
BANTEN,1.01,1.94,1.47
BALI,1.98,5.8,3.89
NUSA TENGGARA BARAT,6.56,11.69,9.17
NUSA TENGGARA TIMUR,3.82,4.86,4.35
KALIMANTAN BARAT,3.25,5.8,4.51
KALIMANTAN TENGAH,0.78,1.38,1.07
KALIMANTAN SELATAN,0.9,2.11,1.5
KALIMANTAN TIMUR,0.78,1.14,0.95
KALIMANTAN UTARA,1.73,3.18,2.43
SULAWESI UTARA,0.2,0.34,0.27
SULAWESI TENGAH,1.1,1.94,1.51
SULAWESI SELATAN,4.38,6.29,5.36
SULAWESI TENGGARA,2.45,4.2,3.33
GORONTALO,1.51,1.28,1.39
SULAWESI BARAT,3.44,5.56,4.5
MALUKU,0.25,0.66,0.45
MALUKU UTARA,0.94,1.31,1.12
PAPUA BARAT,1.73,2.37,2.03
PAPUA BARAT DAYA,1.71,2.59,2.13
PAPUA,0.99,2,1.47
PAPUA SELATAN,4.77,7.12,5.92
PAPUA TENGAH,13.63,16.45,14.97
PAPUA PEGUNUNGAN,25.55,29.58,27.47
INDONESIA,2.13,3.97,3.05
