38 Province,,,,
,School Enrolment Rate (SER) by Province and Age Group,,,
,7/12/01,13-15,16-18,19-23
,2024,2024,2024,2024
ACEH,99.42,97.77,81.55,34.81
SUMATERA UTARA,99.5,97.35,78.59,30.22
SUMATERA BARAT,99.71,96.8,84.4,42.75
RIAU,99.67,95.94,78.49,31.34
JAMBI,99.61,96.25,71.97,25.85
SUMATERA SELATAN,99.39,95.45,70.8,20.11
BENGKULU,99.51,97.93,79.07,35.13
LAMPUNG,99.5,96.07,72.35,22.53
KEP. BANGKA BELITUNG,99.66,93.52,72.69,19.74
KEP. RIAU,99.47,98.91,85.56,26.28
DKI JAKARTA,99.25,98.36,79.95,32.98
JAWA BARAT,99.46,95.86,71.15,26.59
JAWA TENGAH,99.57,97.12,71.6,25.61
DI YOGYAKARTA,99.65,98.9,90.36,54.17
JAWA TIMUR,99.34,97.68,76.44,28.88
BANTEN,99.52,96.67,71.91,26.04
BALI,99.65,98.79,85.17,35.39
NUSA TENGGARA BARAT,99.47,97.86,77.81,28.88
NUSA TENGGARA TIMUR,98.81,94.76,75.75,33.24
KALIMANTAN BARAT,99,93.05,69.39,26.98
KALIMANTAN TENGAH,99.32,95.24,68.33,24.12
KALIMANTAN SELATAN,99.3,93.7,72.31,29.45
KALIMANTAN TIMUR,99.69,98.73,81.84,33.43
KALIMANTAN UTARA,98.97,96.57,78.89,30.71
SULAWESI UTARA,99.37,96.24,72.48,25.83
SULAWESI TENGAH,98.47,94.12,74.16,30.38
SULAWESI SELATAN,99.5,93.41,73.17,37.02
SULAWESI TENGGARA,99.06,95.76,75.73,33.37
GORONTALO,98.79,91.35,72.7,34.43
SULAWESI BARAT,98.49,91.24,72.09,25.32
MALUKU,99.49,97.83,77.7,39.58
MALUKU UTARA,99.11,96.68,76.02,29.5
PAPUA BARAT,97.6,95.61,75.32,31.18
PAPUA BARAT DAYA,99.17,95.82,81.14,37.35
PAPUA,97.09,96.98,80.38,38.17
PAPUA SELATAN,90.47,85.51,71.68,31.73
PAPUA TENGAH,74.63,68.42,47.65,17.96
PAPUA PEGUNUNGAN,79.98,73.12,56.09,17.84
INDONESIA,99.19,96.17,74.64,29.01
