38 Province,
,Gender Parity Index of Gross Enrolment Ratio (GER) in Tertiary Education by Province
,2024
ACEH,115.03
SUMATERA UTARA,125.01
SUMATERA BARAT,138.58
RIAU,115.3
JAMBI,134.96
SUMATERA SELATAN,120.29
BENGKULU,112.82
LAMPUNG,126.89
KEP. BANGKA BELITUNG,95.38
KEP. RIAU,137.72
DKI JAKARTA,124.17
JAWA BARAT,114.05
JAWA TENGAH,124.82
DI YOGYAKARTA,107.22
JAWA TIMUR,130.47
BANTEN,122.6
BALI,115.76
NUSA TENGGARA BARAT,105.23
NUSA TENGGARA TIMUR,102.79
KALIMANTAN BARAT,110.78
KALIMANTAN TENGAH,128.44
KALIMANTAN SELATAN,138.9
KALIMANTAN TIMUR,128.36
KALIMANTAN UTARA,161.15
SULAWESI UTARA,183.03
SULAWESI TENGAH,112.3
SULAWESI SELATAN,126.96
SULAWESI TENGGARA,111.45
GORONTALO,120.67
SULAWESI BARAT,170.21
MALUKU,119.08
MALUKU UTARA,93.51
PAPUA BARAT,147.16
PAPUA BARAT DAYA,110.95
PAPUA,115.81
PAPUA SELATAN,77.69
PAPUA TENGAH,111.59
PAPUA PEGUNUNGAN,83.91
INDONESIA,121.96
