38 Province,
,Literacy Rate of Population Aged 15-59 Years by Province
,2024
ACEH,99.59
SUMATERA UTARA,99.7
SUMATERA BARAT,99.93
RIAU,99.96
JAMBI,99.74
SUMATERA SELATAN,99.58
BENGKULU,99.85
LAMPUNG,99.45
KEP. BANGKA BELITUNG,99.31
KEP. RIAU,99.89
DKI JAKARTA,99.94
JAWA BARAT,99.81
JAWA TENGAH,98.84
DI YOGYAKARTA,99.11
JAWA TIMUR,98.86
BANTEN,99.96
BALI,99.48
NUSA TENGGARA BARAT,95.15
NUSA TENGGARA TIMUR,97.87
KALIMANTAN BARAT,98.46
KALIMANTAN TENGAH,99.68
KALIMANTAN SELATAN,99.94
KALIMANTAN TIMUR,99.83
KALIMANTAN UTARA,98.74
SULAWESI UTARA,99.96
SULAWESI TENGAH,99.35
SULAWESI SELATAN,97.77
SULAWESI TENGGARA,98.9
GORONTALO,99.3
SULAWESI BARAT,97.87
MALUKU,99.86
MALUKU UTARA,99.92
PAPUA BARAT,98.64
PAPUA BARAT DAYA,98.77
PAPUA,99.2
PAPUA SELATAN,96.17
PAPUA TENGAH,85.57
PAPUA PEGUNUNGAN,71.68
INDONESIA,99.08
