38 Province,,
,Literacy Rate of Population Aged 15 Years and Over by Province (Percent),
,2023,2024
ACEH,98.34,98.34
SUMATERA UTARA,99.17,99.09
SUMATERA BARAT,99.31,99.37
RIAU,99.18,99.2
JAMBI,98.16,98.02
SUMATERA SELATAN,98.73,98.68
BENGKULU,97.89,97.91
LAMPUNG,97.33,97.36
KEP. BANGKA BELITUNG,98.24,98.2
KEP. RIAU,99.05,99.2
DKI JAKARTA,99.69,99.65
JAWA BARAT,98.51,98.57
JAWA TENGAH,94.34,94.5
DI YOGYAKARTA,95.59,95.65
JAWA TIMUR,93.7,94.13
BANTEN,98.23,98.41
BALI,95.61,95.79
NUSA TENGGARA BARAT,89.11,89.83
NUSA TENGGARA TIMUR,95.11,95.15
KALIMANTAN BARAT,94.79,95.03
KALIMANTAN TENGAH,99.03,98.83
KALIMANTAN SELATAN,98.37,98.34
KALIMANTAN TIMUR,99.01,98.96
KALIMANTAN UTARA,97.78,97.37
SULAWESI UTARA,99.79,99.75
SULAWESI TENGAH,98.14,98.35
SULAWESI SELATAN,93.83,94.11
SULAWESI TENGGARA,96.03,96.29
GORONTALO,98.49,98.55
SULAWESI BARAT,94.33,95
MALUKU,99.47,99.53
MALUKU UTARA,98.81,98.8
PAPUA BARAT,97.84,97.89
PAPUA BARAT DAYA,-,97.84
PAPUA,84.22,98.37
PAPUA SELATAN,-,94.21
PAPUA TENGAH,-,84.69
PAPUA PEGUNUNGAN,-,70.37
INDONESIA,96.53,96.67
