38 Province,,,,
,Gender Parity Index of Net Enrolment Rate (NER) by Province and Education Level,,,
,Primary Education,Lower Secondary Education,Upper Secondary Education,Tertiary Education
,2024,2024,2024,2024
ACEH,100.39,95.7,103.28,108.18
SUMATERA UTARA,99.95,99.68,103.85,129.38
SUMATERA BARAT,100.26,102.19,111.01,128.56
RIAU,99.96,104.35,108.03,118.71
JAMBI,98.65,105.46,98.62,138.89
SUMATERA SELATAN,99.52,100.28,115.91,129
BENGKULU,100.49,100.74,107.72,121.05
LAMPUNG,100.24,105.19,100.84,127.33
KEP. BANGKA BELITUNG,101.63,99.55,118.86,104.48
KEP. RIAU,99.46,103.89,109.7,160.81
DKI JAKARTA,99.27,102.33,95.43,143.58
JAWA BARAT,99.75,99.88,102.77,112.36
JAWA TENGAH,99.89,99.53,99.89,132.78
DI YOGYAKARTA,99.52,103.39,99.15,110.5
JAWA TIMUR,100.03,99.01,99.51,140.74
BANTEN,100.65,103.34,103.23,106.78
BALI,99.04,104.09,100.6,105.54
NUSA TENGGARA BARAT,99.69,100.29,115.55,95.66
NUSA TENGGARA TIMUR,100.3,103.31,120.48,111.59
KALIMANTAN BARAT,100.01,107.92,104.84,113.58
KALIMANTAN TENGAH,100.23,105.31,109.01,136.77
KALIMANTAN SELATAN,99.52,100.66,97.34,135.87
KALIMANTAN TIMUR,100.08,104.87,98.75,118.52
KALIMANTAN UTARA,101.12,97.69,107.23,168.99
SULAWESI UTARA,101.13,103.29,105.73,156.79
SULAWESI TENGAH,100.61,102.28,115.6,120.06
SULAWESI SELATAN,100.05,105.93,110.47,130.47
SULAWESI TENGGARA,99.79,103.54,106.4,115.23
GORONTALO,99.67,105.32,112.71,123.78
SULAWESI BARAT,97.71,95.54,109.7,203.36
MALUKU,100.53,96.29,102.17,122.47
MALUKU UTARA,98.94,98.25,100.69,107.52
PAPUA BARAT,100.76,98.92,106.52,131.77
PAPUA BARAT DAYA,99.33,120.19,96.37,93.17
PAPUA,103.16,92.92,106.59,121.93
PAPUA SELATAN,101.06,79.01,66.59,65.06
PAPUA TENGAH,102.56,113.58,99.07,100.46
PAPUA PEGUNUNGAN,101.52,85.52,97.01,102.43
INDONESIA,99.95,101.04,103.57,124.4
