Provinsi,Jumlah Sekolah MI (Negeri),Jumlah Sekolah MI (Swasta),Jumlah Sekolah MI (Negeri+Swasta),Jumlah Guru MI (Negeri),Jumlah Guru MI (Swasta),Jumlah Guru MI (Negeri+Swasta),Jumlah Murid MI (Negeri),Jumlah Murid MI (Swasta),Jumlah Murid MI (Negeri+Swasta)
Aceh,433,184,617,10802,2598,13400,120539,21719,142258
Sumatera Utara,125,942,1067,3117,10305,13422,43944,161685,205629
Sumatera Barat,62,97,159,1451,1198,2649,16614,11176,27790
Riau,19,502,521,608,5784,6392,7966,64359,72325
Jambi,37,256,293,986,3121,4107,10217,34912,45129
Sumatera Selatan,37,555,592,1050,6551,7601,13349,85044,98393
Bengkulu,41,109,150,969,1329,2298,11397,13341,24738
Lampung,52,737,789,1537,8450,9987,25803,105875,131678
Kepulauan Bangka Belitung,12,28,40,270,322,592,3175,3931,7106
Kepulauan Riau,10,58,68,252,832,1084,3784,10426,14210
DKI Jakarta,22,453,475,885,6816,7701,11103,103802,114905
Jawa Barat,91,4132,4223,1887,43835,45722,29268,750050,779318
Jawa Tengah,114,4161,4275,2962,42595,45557,53440,669822,723262
DI Yogyakarta,21,182,203,397,2168,2565,5067,22002,27069
Jawa Timur,146,7511,7657,4356,84094,88450,67974,972644,1040618
Banten,21,1104,1125,788,12368,13156,11901,184716,196617
Bali,17,73,90,466,1073,1539,6668,15703,22371
Nusa Tenggara Barat,26,863,889,910,10837,11747,11187,102382,113569
Nusa Tenggara Timur,36,146,182,815,1680,2495,7974,16607,24581
Kalimantan Barat,23,424,447,663,4387,5050,11288,50140,61428
Kalimantan Tengah,36,254,290,943,2485,3428,12902,28506,41408
Kalimantan Selatan,143,405,548,2638,4856,7494,28056,53860,81916
Kalimantan Timur,10,139,149,343,1983,2326,5499,27897,33396
Kalimantan Utara,1,30,31,39,335,374,696,4436,5132
Sulawesi Utara,12,83,95,339,793,1132,4275,9527,13802
Sulawesi Tengah,22,189,211,566,1910,2476,6046,18387,24433
Sulawesi Selatan,56,668,724,1265,6798,8063,11918,66269,78187
Sulawesi Tenggara,19,160,179,589,1596,2185,6419,15875,22294
Gorontalo,7,90,97,157,973,1130,2387,11264,13651
Sulawesi Barat,6,162,168,172,1871,2043,1468,15524,16992
Maluku,21,120,141,577,1396,1973,5706,13490,19196
Maluku Utara,23,116,139,512,1322,1834,4809,11018,15827
Papua Barat,6,31,37,131,301,432,1761,4398,6159
Papua Barat Daya,2,25,27,37,255,292,520,4311,4831
Papua,6,97,103,194,1371,1565,3104,20596,23700
Papua Selatan,1,11,12,20,192,212,316,3099,3415
Papua Tengah,,14,14,,196,196,,2667,2667
Papua Pegunungan,,3,3,,28,28,,451,451
Indonesia,1716,25114,26830,43693,279004,322697,568540,3711911,4280451
