38 Province,
,Gross Enrolment Ratio (GER) in Tertiary Education by Province
,2024
ACEH,42.48
SUMATERA UTARA,31.63
SUMATERA BARAT,43.29
RIAU,34.86
JAMBI,31.89
SUMATERA SELATAN,26.41
BENGKULU,37.79
LAMPUNG,22.29
KEP. BANGKA BELITUNG,20.14
KEP. RIAU,30.48
DKI JAKARTA,41.98
JAWA BARAT,27.21
JAWA TENGAH,26.37
DI YOGYAKARTA,73.9
JAWA TIMUR,31.85
BANTEN,32.4
BALI,38.15
NUSA TENGGARA BARAT,34.8
NUSA TENGGARA TIMUR,31.47
KALIMANTAN BARAT,24.99
KALIMANTAN TENGAH,27.49
KALIMANTAN SELATAN,28.06
KALIMANTAN TIMUR,40.03
KALIMANTAN UTARA,27.98
SULAWESI UTARA,34.75
SULAWESI TENGAH,40.38
SULAWESI SELATAN,41.83
SULAWESI TENGGARA,42.95
GORONTALO,35.68
SULAWESI BARAT,30.41
MALUKU,47.91
MALUKU UTARA,42.22
PAPUA BARAT,27.52
PAPUA BARAT DAYA,36.71
PAPUA,35.63
PAPUA SELATAN,25.07
PAPUA TENGAH,15.45
PAPUA PEGUNUNGAN,12.23
INDONESIA,32
