38 Province,
,Gross Enrolment Ratio in Early Childhood Care and Education (GER/ECCE) by Province
,2024
ACEH,30.64
SUMATERA UTARA,23.3
SUMATERA BARAT,28.12
RIAU,22.6
JAMBI,31.71
SUMATERA SELATAN,26.06
BENGKULU,26.07
LAMPUNG,32.43
KEP. BANGKA BELITUNG,31.75
KEP. RIAU,26.66
DKI JAKARTA,37.08
JAWA BARAT,32.89
JAWA TENGAH,47.65
DI YOGYAKARTA,65.67
JAWA TIMUR,53.92
BANTEN,27.94
BALI,31.55
NUSA TENGGARA BARAT,42.13
NUSA TENGGARA TIMUR,34.74
KALIMANTAN BARAT,22.38
KALIMANTAN TENGAH,36.41
KALIMANTAN SELATAN,43.41
KALIMANTAN TIMUR,26.69
KALIMANTAN UTARA,32.31
SULAWESI UTARA,29.06
SULAWESI TENGAH,36.51
SULAWESI SELATAN,31.41
SULAWESI TENGGARA,32.37
GORONTALO,50.31
SULAWESI BARAT,44.54
MALUKU,30.85
MALUKU UTARA,37.14
PAPUA BARAT,31.92
PAPUA BARAT DAYA,21.01
PAPUA,20.5
PAPUA SELATAN,17.83
PAPUA TENGAH,9.98
PAPUA PEGUNUNGAN,3.08
INDONESIA,36.03
