38 Province,,,
,Net Enrolment Rate (NER) by Province and Education Level,,
,Primary Education,Lower Secondary Education,Upper Secondary Education
,2024,2024,2024
ACEH,97.96,84.22,70.94
SUMATERA UTARA,97.68,82.15,69.72
SUMATERA BARAT,98.89,82.94,72.5
RIAU,98.45,81.14,68.04
JAMBI,98.17,79.65,62.48
SUMATERA SELATAN,97.53,77.58,62.7
BENGKULU,98.33,82.36,69.14
LAMPUNG,98.33,81.4,64.54
KEP. BANGKA BELITUNG,98.29,77.59,61.71
KEP. RIAU,98.71,87.1,77.54
DKI JAKARTA,98.39,88.67,64.85
JAWA BARAT,98.53,84.61,60.68
JAWA TENGAH,98.39,81.03,62.56
DI YOGYAKARTA,99.43,90.14,77.86
JAWA TIMUR,98.81,84.52,64.77
BANTEN,98.09,83.68,63.5
BALI,98.7,86.3,74.19
NUSA TENGGARA BARAT,98.57,83.55,71.09
NUSA TENGGARA TIMUR,97.01,73.72,60.73
KALIMANTAN BARAT,98.6,72.9,57.18
KALIMANTAN TENGAH,98.35,80.49,58.05
KALIMANTAN SELATAN,98.68,78.14,60.26
KALIMANTAN TIMUR,98.59,83.7,72.37
KALIMANTAN UTARA,95.18,81.61,67.9
SULAWESI UTARA,95.87,77.27,65.47
SULAWESI TENGAH,94.84,77.55,65.62
SULAWESI SELATAN,97.81,76.84,62.71
SULAWESI TENGGARA,97.33,77.12,66.66
GORONTALO,98.2,72.51,61.23
SULAWESI BARAT,96.82,71.77,62.1
MALUKU,97.27,79.72,69.61
MALUKU UTARA,96.41,79.34,68.02
PAPUA BARAT,95.15,72.1,61.18
PAPUA BARAT DAYA,95.39,72.31,68.52
PAPUA,92.52,75.41,61.33
PAPUA SELATAN,85.86,52.03,44.79
PAPUA TENGAH,69.03,57.49,36.84
PAPUA PEGUNUNGAN,75.4,58.83,45.6
INDONESIA,97.94,81.73,64.32
