38 Province,,,
,Gross Enrolment Ratio (GER) by Province and Education Level,,
,Primary Education,Lower Secondary Education,Upper Secondary Education
,2024,2024,2024
ACEH,108.57,94.3,96.6
SUMATERA UTARA,108.11,91.79,97.43
SUMATERA BARAT,107.74,96.24,93.65
RIAU,107.47,92.63,87.69
JAMBI,107.13,89.97,85.18
SUMATERA SELATAN,107.41,85.46,85.2
BENGKULU,107.16,92.24,97.41
LAMPUNG,104.6,90.85,89.54
KEP. BANGKA BELITUNG,106.47,88.74,87.02
KEP. RIAU,105.55,92.82,95.73
DKI JAKARTA,102.49,98.63,78.52
JAWA BARAT,102.99,95.6,80.56
JAWA TENGAH,103.86,90.89,88.54
DI YOGYAKARTA,102.11,98.43,91.88
JAWA TIMUR,102.54,93.89,88.67
BANTEN,107.04,93.32,79.42
BALI,104.51,95.25,94.16
NUSA TENGGARA BARAT,105.8,92.28,95.79
NUSA TENGGARA TIMUR,110.58,91.73,89.2
KALIMANTAN BARAT,109.71,83.94,86.33
KALIMANTAN TENGAH,106.34,88.28,86.17
KALIMANTAN SELATAN,105.32,90.22,82.17
KALIMANTAN TIMUR,105.31,91.72,98.75
KALIMANTAN UTARA,103.23,96.35,95.36
SULAWESI UTARA,107.21,89.45,86.12
SULAWESI TENGAH,103.16,90.64,88.39
SULAWESI SELATAN,105.98,86.57,90.49
SULAWESI TENGGARA,107.33,85.61,91.83
GORONTALO,105.52,82.15,89.8
SULAWESI BARAT,104.78,82.07,86.07
MALUKU,107.62,88.79,95.86
MALUKU UTARA,106.94,92.44,91.01
PAPUA BARAT,108.57,90.92,93.26
PAPUA BARAT DAYA,108.03,92.48,98.09
PAPUA,103.25,100.21,92.15
PAPUA SELATAN,104.01,82.56,80.28
PAPUA TENGAH,74.02,76.94,53.66
PAPUA PEGUNUNGAN,80.98,76.56,64.27
INDONESIA,104.82,92.21,87.29
