38 Province,,,
,Participation Rate in Organized Learning (One Year Before the Official Primary Entry Age) by Province,,
,2021,2022,2023
ACEH,94.06,97.45,97.4
SUMATERA UTARA,93.72,96.37,96.05
SUMATERA BARAT,94.91,95.78,96.68
RIAU,90.75,95.41,95.05
JAMBI,95.55,95.86,96.37
SUMATERA SELATAN,97.38,95.56,98.17
BENGKULU,96.99,94.84,98.85
LAMPUNG,95.71,96.31,95.86
KEP. BANGKA BELITUNG,95.64,98.33,96.48
KEP. RIAU,95.63,87.55,96.55
DKI JAKARTA,86.33,89.09,92.36
JAWA BARAT,92.05,95.4,95.32
JAWA TENGAH,94.79,97.08,98.18
DI YOGYAKARTA,99.51,99.16,99.86
JAWA TIMUR,94.08,96.82,96.49
BANTEN,95.49,95.23,93.99
BALI,85.57,97.38,96.05
NUSA TENGGARA BARAT,96.53,95.09,96.94
NUSA TENGGARA TIMUR,94.56,94.98,95.29
KALIMANTAN BARAT,93.83,95.49,91.85
KALIMANTAN TENGAH,91.27,95.48,95.72
KALIMANTAN SELATAN,94.75,96.64,98.31
KALIMANTAN TIMUR,89.64,92.56,93.3
KALIMANTAN UTARA,80.5,88.18,97.82
SULAWESI UTARA,96.06,95.35,95.46
SULAWESI TENGAH,95.74,95.36,95.47
SULAWESI SELATAN,90.64,96.29,95.21
SULAWESI TENGGARA,90.66,94.65,94.68
GORONTALO,93.59,97.76,95.94
SULAWESI BARAT,91.55,94.61,94.5
MALUKU,95.54,97.54,96.16
MALUKU UTARA,93.15,95.84,95.52
PAPUA BARAT,87.82,92.79,93.14
PAPUA BARAT DAYA,-,-,-
PAPUA,50.19,60.32,62.98
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,92.72,95.1,95.54
