Provinsi,Jumlah Sekolah MA (Negeri),Jumlah Sekolah MA (Swasta),Jumlah Sekolah MA (Negeri+Swasta),Jumlah Guru MA (Negeri),Jumlah Guru MA (Swasta),Jumlah Guru MA (Negeri+Swasta),Jumlah Murid MA (Negeri),Jumlah Murid MA (Swasta),Jumlah Murid MA (Negeri+Swasta)
Aceh,68,234,302,3329,3602,6931,22481,26292,48773
Sumatera Utara,42,575,617,2927,7171,10098,33188,80948,114136
Sumatera Barat,48,173,221,2686,2421,5107,23590,13733,37323
Riau,23,370,393,1240,4904,6144,11198,35065,46263
Jambi,31,208,239,1337,2655,3992,10485,20689,31174
Sumatera Selatan,22,298,320,1439,4775,6214,14220,33885,48105
Bengkulu,15,48,63,801,672,1473,6331,3753,10084
Lampung,18,302,320,1211,4393,5604,11894,36866,48760
Kepulauan Bangka Belitung,5,30,35,295,460,755,2900,3523,6423
Kepulauan Riau,7,33,40,359,373,732,3372,1839,5211
DKI Jakarta,22,78,100,1399,1402,2801,15735,10190,25925
Jawa Barat,77,1363,1440,4571,18246,22817,58616,176553,235169
Jawa Tengah,65,760,825,4678,12916,17594,65668,133062,198730
DI Yogyakarta,15,65,80,890,1382,2272,8933,11290,20223
Jawa Timur,91,2096,2187,6841,29276,36117,78069,264209,342278
Banten,22,449,471,1252,6024,7276,14730,49601,64331
Bali,5,29,34,266,361,627,2925,2002,4927
Nusa Tenggara Barat,19,583,602,1274,9819,11093,11304,60111,71415
Nusa Tenggara Timur,14,42,56,730,666,1396,6865,4243,11108
Kalimantan Barat,19,154,173,755,1782,2537,8037,15607,23644
Kalimantan Tengah,15,80,95,618,854,1472,7258,7439,14697
Kalimantan Selatan,42,140,182,1871,2007,3878,16417,17662,34079
Kalimantan Timur,11,81,92,517,995,1512,5831,6307,12138
Kalimantan Utara,2,21,23,102,248,350,1096,1224,2320
Sulawesi Utara,5,40,45,265,458,723,3080,2719,5799
Sulawesi Tengah,17,155,172,744,1954,2698,6135,12997,19132
Sulawesi Selatan,32,429,461,2031,6030,8061,17668,48131,65799
Sulawesi Tenggara,17,123,140,766,1513,2279,5811,10372,16183
Gorontalo,6,41,47,341,513,854,3185,3191,6376
Sulawesi Barat,5,98,103,263,1323,1586,2641,8128,10769
Maluku,10,71,81,394,934,1328,2916,5352,8268
Maluku Utara,12,79,91,470,1247,1717,3206,6854,10060
Papua Barat,4,12,16,133,127,260,990,865,1855
Papua Barat Daya,3,11,14,131,94,225,1210,514,1724
Papua,4,39,43,106,430,536,492,2405,2897
Papua Selatan,,4,4,,47,47,,335,335
Papua Tengah,,3,3,,30,30,,131,131
Papua Pegunungan,,,,,,,,,
Indonesia,813,9317,10130,47032,132104,179136,488477,1118087,1606564
