Provinsi,Jumlah Sekolah MTs (Negeri),Jumlah Sekolah MTs (Swasta),Jumlah Sekolah MTs (Negeri+Swasta),Jumlah Guru MTs (Negeri),Jumlah Guru MTs (Swasta),Jumlah Guru MTs (Negeri+Swasta),Jumlah Murid MTs (Negeri),Jumlah Murid MTs (Swasta),Jumlah Murid MTs (Negeri+Swasta)
Aceh,109,354,463,4839,5815,10654,40833,43265,84098
Sumatera Utara,60,1132,1192,3333,15249,18582,36075,194353,230428
Sumatera Barat,112,301,413,5259,4816,10075,56875,39036,95911
Riau,42,655,697,1726,9299,11025,18942,84452,103394
Jambi,65,336,401,2294,4521,6815,19188,42458,61646
Sumatera Selatan,35,522,557,1798,8264,10062,19732,71963,91695
Bengkulu,32,75,107,1119,1077,2196,9986,8510,18496
Lampung,24,667,691,1378,9477,10855,17121,94578,111699
Kepulauan Bangka Belitung,11,49,60,388,755,1143,3468,7116,10584
Kepulauan Riau,9,60,69,352,755,1107,4085,5136,9221
DKI Jakarta,42,213,255,2196,3569,5765,23705,33968,57673
Jawa Barat,161,2948,3109,7147,42394,49541,90482,495685,586167
Jawa Tengah,129,1717,1846,7255,29471,36726,95267,348737,444004
DI Yogyakarta,35,93,128,1331,1848,3179,14974,18088,33062
Jawa Timur,198,3808,4006,10191,51239,61430,131184,465874,597058
Banten,33,1096,1129,1698,15087,16785,22254,143896,166150
Bali,7,48,55,335,625,960,3320,5643,8963
Nusa Tenggara Barat,33,899,932,1867,14613,16480,16341,100642,116983
Nusa Tenggara Timur,23,82,105,871,1035,1906,7249,6423,13672
Kalimantan Barat,29,322,351,977,3578,4555,11494,35063,46557
Kalimantan Tengah,22,151,173,850,1626,2476,10257,17099,27356
Kalimantan Selatan,89,268,357,2962,3739,6701,29189,38874,68063
Kalimantan Timur,17,165,182,721,2277,2998,7960,23873,31833
Kalimantan Utara,3,23,26,115,305,420,1144,2546,3690
Sulawesi Utara,17,65,82,551,655,1206,5214,4864,10078
Sulawesi Tengah,31,262,293,1073,3359,4432,9576,26669,36245
Sulawesi Selatan,51,748,799,2451,10054,12505,21586,85462,107048
Sulawesi Tenggara,45,206,251,1598,2378,3976,13341,17955,31296
Gorontalo,10,66,76,493,972,1465,4618,8425,13043
Sulawesi Barat,6,173,179,281,2472,2753,2437,16579,19016
Maluku,18,135,153,512,1541,2053,5169,9595,14764
Maluku Utara,19,153,172,674,1848,2522,4985,10700,15685
Papua Barat,3,18,21,102,179,281,1275,1558,2833
Papua Barat Daya,2,22,24,81,205,286,1092,2067,3159
Papua,8,71,79,196,945,1141,1464,8874,10338
Papua Selatan,1,7,8,22,66,88,144,844,988
Papua Tengah,,9,9,,144,144,,827,827
Papua Pegunungan,1,,1,21,,21,25,,25
Indonesia,1532,17919,19451,69057,256252,325309,762051,2521697,3283748
