38 Province,,,,,,,,
,Pure Participation Rate (NER) Population of the lowest 40% expenditure group by Province (Percent),,,,,,,
,Primary Education,,Lower Secondary Education,,Upper Secondary Education,,Tertiary Education,
,2018,2019,2018,2019,2018,2019,2018,2019
ACEH,98.87,99.01,86.07,86.98,64.97,63.6,-,-
SUMATERA UTARA,98.38,98.32,81.31,81.92,64.39,64.3,-,-
SUMATERA BARAT,99.27,98.95,71.9,75.71,60.65,63.31,-,-
RIAU,97.72,97.7,78.32,76.98,55.08,55.28,-,-
JAMBI,99.2,99.05,77.19,79.04,52.84,52.35,-,-
SUMATERA SELATAN,98.09,98.59,75.4,75.91,53.91,54.76,-,-
BENGKULU,98.29,98.99,73.28,76.88,60.77,58.71,-,-
LAMPUNG,99.49,99.14,81.83,79.56,51.07,49.19,-,-
KEP. BANGKA BELITUNG,98.28,98.72,70.91,72.26,47.19,51.53,-,-
KEP. RIAU,98.76,98.73,87.07,83.5,69.07,71.26,-,-
DKI JAKARTA,98.37,98.83,86.38,82.26,60.59,61.4,-,-
JAWA BARAT,98.25,98.32,77.77,81.37,48.55,49.94,-,-
JAWA TENGAH,98.04,97.94,79.15,79.47,50.67,51.99,-,-
DI YOGYAKARTA,99.3,99.37,87.94,89.01,70.44,65.78,-,-
JAWA TIMUR,97.97,97.84,78.36,80.81,52.11,54.5,-,-
BANTEN,97.74,97.48,77.07,80.7,52.37,51.48,-,-
BALI,96.15,97.47,86.42,89.83,69.33,73.11,-,-
NUSA TENGGARA BARAT,98.91,98.75,81.69,83.47,58.42,63.09,-,-
NUSA TENGGARA TIMUR,95.6,96.21,63.38,67.98,41.31,42.68,-,-
KALIMANTAN BARAT,97.57,96.13,63.57,63.38,43.51,42.4,-,-
KALIMANTAN TENGAH,98.95,98.99,75.56,75.49,49.15,50.03,-,-
KALIMANTAN SELATAN,99.53,98.46,71.69,72.39,51.92,50.4,-,-
KALIMANTAN TIMUR,97.29,98.76,80.49,79.45,61.96,66.16,-,-
KALIMANTAN UTARA,92.86,92.76,79.16,76.66,54.93,57.59,-,-
SULAWESI UTARA,95.61,95.39,72.16,74.54,57.34,55.87,-,-
SULAWESI TENGAH,93.72,93.15,69.75,71.5,53.77,55.82,-,-
SULAWESI SELATAN,97.75,98.52,76.09,73.56,50.22,52.72,-,-
SULAWESI TENGGARA,97.12,97.95,79.2,74.8,60.54,59.36,-,-
GORONTALO,98.48,98.25,66.11,66.84,46.44,52.2,-,-
SULAWESI BARAT,95.83,95.6,70.61,67.33,54.67,53.46,-,-
MALUKU,96.99,97.96,76.99,76.95,56.45,57.8,-,-
MALUKU UTARA,97.27,96.75,73.89,74.56,57.8,61.47,-,-
PAPUA BARAT,93.89,93.66,61.88,63.82,54.84,54.32,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-
PAPUA,76.43,75.22,50.41,48.37,33.6,36.14,-,-
PAPUA SELATAN,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-
INDONESIA,97.6,97.62,77.02,78.23,53.38,54.35,-,-
