38 Province,,,,,,,,,,,,,,,
,Number of Villages Having Educational Facilities by Province and Educational Level,,,,,,,,,,,,,,
,Primary Schools,,,Junior High Schools,,,Senior High Schools,,,Vocational High Schools,,,Universities,,
,2011,2014,2018,2011,2014,2018,2011,2014,2018,2011,2014,2018,2011,2014,2018
ACEH,3227,3358,3377,1023,1176,1268,497,582,639,127,165,201,120,118,115
SUMATERA UTARA,4725,4957,5033,1912,2091,2226,923,974,1068,504,608,680,181,177,193
SUMATERA BARAT,987,1100,1242,611,674,781,279,333,394,137,146,175,113,98,116
RIAU,1602,1779,1812,957,1096,1174,425,497,567,163,205,253,63,65,79
JAMBI,1326,1457,1469,651,727,752,262,303,332,99,129,156,33,45,50
SUMATERA SELATAN,2875,2938,2961,1143,1222,1318,532,565,639,150,188,228,84,81,90
BENGKULU,1148,1180,1181,403,445,473,134,156,179,66,77,87,24,29,30
LAMPUNG,2350,2499,2529,1242,1331,1392,517,569,643,232,293,371,60,71,70
KEP. BANGKA BELITUNG,356,375,387,169,181,204,68,69,74,37,39,45,14,16,16
KEP. RIAU,331,390,394,202,224,234,90,104,118,45,53,64,20,32,32
DKI JAKARTA,264,264,264,251,253,255,222,223,220,185,201,198,137,146,139
JAWA BARAT,5891,5949,5944,3632,3969,4193,1618,1823,2020,1078,1467,1922,351,411,394
JAWA TENGAH,8469,8461,8440,3334,3469,3558,1126,1195,1254,883,1070,1217,228,235,252
DI YOGYAKARTA,437,438,437,305,309,316,136,134,140,128,135,149,56,59,58
JAWA TIMUR,8442,8450,8443,4259,4468,4696,1873,2095,2385,980,1181,1531,353,381,376
BANTEN,1526,1543,1549,1111,1182,1220,546,597,665,302,386,477,118,126,123
BALI,709,709,709,302,309,311,139,139,135,104,112,124,42,44,43
NUSA TENGGARA BARAT,1073,1130,1132,773,854,876,422,485,527,164,203,261,65,73,72
NUSA TENGGARA TIMUR,2836,3129,3207,1059,1391,1589,289,428,544,147,217,288,55,58,62
KALIMANTAN BARAT,1895,2028,2064,864,1000,1121,283,324,400,108,126,166,47,50,54
KALIMANTAN TENGAH,1493,1540,1551,602,721,789,190,225,281,78,104,121,15,21,17
KALIMANTAN SELATAN,1856,1869,1870,693,745,764,251,277,303,69,91,105,52,47,57
KALIMANTAN TIMUR,1204,970,989,577,498,544,246,223,234,117,143,155,49,46,47
KALIMANTAN UTARA,-,299,311,-,133,144,-,49,59,-,24,24,-,9,12
SULAWESI UTARA,1467,1537,1562,635,670,714,212,218,249,121,147,180,58,62,58
SULAWESI TENGAH,1718,1882,1929,751,860,944,235,276,324,103,138,171,31,36,38
SULAWESI SELATAN,2862,2929,2963,1446,1655,1730,623,699,780,238,280,341,164,148,165
SULAWESI TENGGARA,1740,1837,1898,715,814,880,285,332,380,84,123,155,67,40,35
GORONTALO,629,658,653,322,350,353,80,88,103,40,46,50,15,11,15
SULAWESI BARAT,612,627,632,294,348,401,97,121,156,58,93,114,20,23,22
MALUKU,901,1017,1100,452,535,583,187,222,260,69,86,100,34,40,44
MALUKU UTARA,985,1092,1102,440,514,601,175,221,265,72,102,134,17,20,24
PAPUA BARAT,774,835,932,180,233,297,82,102,124,35,39,44,24,29,36
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,1640,1979,2171,408,518,606,142,176,235,79,95,122,41,54,54
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,68350,71205,72237,31718,34965,37307,13186,14824,16696,6802,8512,10409,2751,2901,2988
