Provinsi,Tingkat Kegemaran Membaca,Frekuensi Membaca,Durasi Membaca1,Jumlah Buku yang Dibaca,Frekuensi Akses Internet,Durasi Akses Internet1
Aceh,69.93,5,100,3,5,100
Sumatera Utara,68.57,3,100,3,3,100
Sumatera Barat,73.3,5,100,3,5,100
Riau,70.26,5,100,3,5,100
Jambi,68.05,3,100,3,3,100
Sumatera Selatan,69.62,3,100,3,5,100
Bengkulu,68.83,3,100,3,5,100
Lampung,67.67,3,100,3,5,100
Kepulauan Bangka Belitung,77.47,5,100,5,5,100
Kepulauan Riau,73.69,5,100,3,5,100
DKI Jakarta,72.19,5,100,3,5,100
Jawa Barat,75.07,5,100,5,5,100
Jawa Tengah,73.91,5,100,5,5,100
DI Yogyakarta,79.99,5,100,5,5,100
Jawa Timur,77.15,5,100,5,5,100
Banten,70.66,5,100,3,5,100
Bali,71.97,5,100,3,5,100
Nusa Tenggara Barat,65.67,3,100,3,3,100
Nusa Tenggara Timur,70.34,5,100,3,5,100
Kalimantan Barat,71.26,5,100,3,5,100
Kalimantan Tengah,68.34,3,100,3,5,100
Kalimantan Selatan,74.63,5,100,5,5,100
Kalimantan Timur,69.53,5,100,3,5,100
Kalimantan Utara,72.8,5,100,3,5,100
Sulawesi Utara,68.44,3,100,3,5,100
Sulawesi Tengah,67.48,3,100,3,5,100
Sulawesi Selatan,74.46,5,100,5,5,100
Sulawesi Tenggara,66.02,3,100,3,3,100
Gorontalo,62.43,3,100,3,3,100
Sulawesi Barat,67.06,3,100,3,3,100
Maluku,62.58,3,100,3,3,100
Maluku Utara,60.52,3,100,3,3,100
Papua Barat,59.29,3,100,3,3,100
Papua Barat Daya,54.89,3,100,3,3,100
Papua,50.86,3,100,3,3,100
Papua Selatan,54.82,3,100,3,3,100
Papua Tengah,52.06,3,100,3,3,100
Papua Pegunungan,38.83,3,100,3,3,100
Indonesia,72.44,5,100,3,5,100
