"Number of Universities 1, Students, and Lecturers (State and Private) Under The Ministry of Religious Affairs by Province 2013/2014 - 2015/2016",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Province,2013/2014,,,,,,2014/2015,,,,,,2015/2016,,,,,
,Number of Universities,,Number of Students,,Number of Lecturers,,Number of Universities,,Number of Students,,Number of Lecturers,,Number of Universities,,Number of Students,,Number of Lecturers,
,State,Private,State,Private,State,Private,State,Private,State,Private,State,Private,State,Private,State,Private,State,Private
Aceh,  4,  24, 17 914, 15 146,  731,  418,  5,  30, 28 527, 10 215,  828,  521,  5,  30, 32 982, 12 100,  761,  636
Sumatera Utara,  2,  36, 9 287, 17 951,  387,  886,  2,  36, 16 883, 19 593,  491,  988,  2,  37, 17 793, 18 724,  427, 1 017
Sumatera Barat,  3,  21, 12 249, 9 421,  661,  542,  3,  20, 20 503, 7 049,  578,  696,  3,  20, 23 726, 6 060,  620,  575
Riau,  1,  21, 26 325, 13 702,  666,  577,  2,  20, 26 887, 9 540,  714,  605,  2,  20, 30 489, 10 621,  772,  492
Jambi,  2,  16, 11 941, 9 172,  632,  299,  2,  16, 11 336, 7 435,  397,  552,  2,  16, 15 064, 7 028,  404,  604
Sumatera Selatan,  1,  15, 9 631, 4 776,  272,  412,  1,  13, 15 390, 7 479,  307,  433,  1,  16, 13 614, 6 820,  310,  448
Bengkulu,  2,  5, 10 325,  44,  230,  2,  2,  5, 9 678,  436,  223,  90,  2,  3, 11 345,  479,  250,  54
Lampung,  2,  17, 16 157, 1 906,  347,  110,  2,  18, 18 723, 7 650,  378,  488,  2,  21, 24 501, 8 326,  444,  591
Kepulauan Bangka Belitung,  1,–, 1 816,–,  46,–,  1, -, 1 764, -,  46, -,  1, -, 2 140,-,  52,-
Kepulauan Riau,–,  6,–, 3 474,–,  184, -,  7, -, 2 965, -,  250,-,  7, -, 3 155,-,  282
DKI Jakarta,–,  33,–, 6 466,–,  908, -,  32, -, 8 983, -,  504, -,  30, -, 9 925,-,  481
Jawa Barat,  2,  109, 29 606, 39 117,  903, 2 437,  2,  114, 27 477, 48 978, 1 042, 3 351,  2,  118, 31 069, 50 559, 1 045, 3 037
Jawa Tengah,  7,  41, 38 788, 18 981, 1 053,  875,  6,  40, 44 606, 22 431,  948, 1 401,  6,  40, 51 831, 27 226, 1 136, 1 305
DI Yogyakarta,  1,  15, 16 391, 6 113,  500,  358,  1,  14, 17 871, 6 825,  502,  326,  1,  14, 20 686, 8 802,  549,  363
Jawa Timur,  6,  129, 44 082, 65 584, 1 728, 3 078,  7,  130, 47 930, 80 198, 1 616, 3 797,  7,  130, 61 368, 83 449, 1 808, 4 135
Banten,  2,  26, 27 770, 6 444, 1 165,  648,  2,  27, 29 125, 7 962, 1 201,  796,  2,  28, 31 703, 12 053, 1 090,  725
Bali,–,  3,–,  364,–,  67, -,  3, -,  648, -,  87, -,  3,-,  593,-,  121
