"Numbers of Schools, Teachers, and Pupils in Kindergarten Under The Ministry of Education and Culture by Province, 2011/2012 - 2015/2016",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Province,Schools,,,,,Teachers,,,,,Pupils,,,,
,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016
Aceh, 1 507, 1 566, 1 784, 1 983, 2 184, 6 725, 6 995, 8 919, 8 674, 8 350, 79 225, 85 289, 93 432, 99 314, 105 201
Sumatera Utara, 1 551, 2 046, 1 984, 2 254, 2 309, 4 900, 6 423, 8 082, 6 543, 5 742, 99 501, 163 886, 172 106, 183 989, 193 472
Sumatera Barat, 1 971, 1 804, 1 962, 2 068, 2 357, 5 193, 5 360, 7 400, 6 689, 6 957, 96 806, 75 715, 78 196, 84 712, 90 097
Riau, 1 499, 1 484, 1 413, 1 759, 2 070, 5 578, 6 021, 6 091, 4 289, 6 647, 75 615, 93 599, 95 624, 100 838, 105 282
Jambi, 1 002,  385,  991, 1 005, 1 189, 2 491, 3 108, 3 841, 3 642, 3 238, 47 971, 35 320, 36 854, 39 787, 42 633
Sumatera Selatan, 1 199, 1 287, 1 279, 1 589, 1 761, 4 291, 4 421, 5 839, 6 234, 6 434, 60 134, 66 365, 69 682, 74 811, 79 323
Bengkulu,  528,  570,  772,  894,  948, 1 451, 1 843, 3 123, 2 963, 3 234, 25 727, 29 358, 30 827, 35 472, 38 476
Lampung, 2 098, 2 416, 2 304, 2 603, 2 701, 7 030, 6 876, 10 940, 10 473, 9 124, 104 991, 97 404, 102 275, 115 725, 121 861
Kepulauan Bangka Belitung,  286,  301,  318,  346,  346,  851, 1 000, 1 691, 1 781, 1 691, 23 188, 28 780, 28 782, 29 794, 32 149
Kepulauan Riau,  473,  471,  499,  496,  596, 1 482, 1 504, 2 620, 2 092, 2 221, 24 331, 41 194, 42 401, 44 344, 46 337
