"Numbers of Schools, Teachers, and Pupils in Madrasah Tsanawiyah (MTs) Under The Ministry of Religious Affairs by Province 2011/2012 - 2015/2016",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Province,Schools,,,,,Teachers,,,,,Pupils,,,,,,,,,,,,
,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,,,,,,,,
Aceh,  361,  374,  391,  405,  416, 7 492, 7 924, 8 367, 8 982, 8 490, 70 442, 74 836, 79 577, 84 310, 83 303,,,,,,,,
Sumatera Utara,  891,  823,  980,  989,  987, 14 453, 14 529, 15 123, 16 591, 14 025, 167 811, 157 455, 170 608, 191 213, 193 855,,,,,,,,
Sumatera Barat,  376,  386,  393,  400,  398, 8 659, 9 003, 8 675, 9 009, 8 213, 65 049, 65 405, 77 102, 82 081, 83 363,,,,,,,,
Riau,  558,  560,  580,  570,  578, 8 708, 8 988, 8 762, 9 164, 8 472, 65 901, 61 772, 77 523, 82 070, 84 947,,,,,,,,
Jambi,  343,  341,  344,  367,  379, 4 773, 4 793, 4 579, 5 820, 5 564, 41 864, 41 692, 47 889, 54 557, 55 751,,,,,,,,
Sumatera Selatan,  398,  438,  445,  436,  444, 5 242, 5 484, 6 487, 7 993, 6 775, 61 920, 58 702, 56 020, 72 923, 75 244,,,,,,,,
Bengkulu,  78,  80,  86,  86,  87, 1 465, 1 550, 1 583, 1 619, 1 404, 10 637, 10 665, 13 234, 13 857, 13 957,,,,,,,,
Lampung,  616,  661,  656,  666,  674, 11 146, 11 175, 10 658, 11 851, 9 617, 95 782, 89 788, 95 619, 107 450, 105 605,,,,,,,,
Kepulauan Bangka Belitung,  40,  40,  44,  46,  46,  746,  788,  783,  824,  755, 6 737, 6 745, 7 753, 8 288, 8 297,,,,,,,,
Kepulauan Riau,  58,  58,  59,  56,  61,  815,  848,  746,  755,  695, 6 767, 6 999, 7 652, 7 920, 8 105,,,,,,,,
DKI Jakarta,  234,  235,  243,  244,  243, 4 945, 5 269, 5 027, 5 027, 4 480, 53 223, 48 596, 54 260, 65 281, 65 669,,,,,,,,
Jawa Barat, 2 503, 2 611, 2 610, 2 660, 2 744, 86 738, 88 071, 45 529, 48 179, 43 800, 541 660, 624 080, 603 449, 639 025, 642 701,,,,,,,,
Jawa Tengah, 1 527, 1 582, 1 613, 1 645, 1 666, 30 710, 31 243, 32 428, 33 698, 30 592, 396 714, 396 670, 436 874, 444 278, 433 883,,,,,,,,
DI Yogyakarta,  89,  93,  95,  95,  97, 2 220, 2 550, 2 239, 2 399, 2 249, 23 166, 21 088, 24 545, 26 154, 26 419,,,,,,,,
Jawa Timur, 3 081, 3 055, 3 375, 3 489, 3 475, 60 184, 60 869, 51 241, 59 627, 51 808, 544 626, 544 688, 527 385, 589 572, 581 237,,,,,,,,
Banten,  799,  797,  797,  955,  979, 12 390, 12 602, 6 309, 16 694, 14 990, 164 025, 139 386, 68 854, 185 027, 183 782,,,,,,,,
Bali,  28,  30,  32,  32,  34,  561,  576,  596,  616,  541, 5 061, 5 161, 5 719, 6 385, 6 809,,,,,,,,
Nusa Tenggara Barat,  739,  770,  785,  791,  799, 16 207, 18 229, 16 727, 16 716, 14 382, 93 378, 96 626, 104 635, 105 336, 104 168,,,,,,,,
Nusa Tenggara Timur,  64,  69,  72,  76,  78,  850,  862, 1 031, 1 177, 1 108, 9 372, 9 381, 10 777, 11 771, 12 263,,,,,,,,
Kalimantan Barat,  265,  280,  289,  293,  292, 4 167, 4 353, 3 439, 3 804, 3 260, 29 989, 38 164, 32 311, 36 617, 37 634,,,,,,,,
Kalimantan Tengah,  149,  149,  142,  145,  151, 1 648, 1 648, 1 990, 2 220, 1 936, 20 677, 20 454, 22 338, 23 942, 24 385,,,,,,,,
Kalimantan Selatan,  245,  298,  329,  331,  330, 5 223, 4 881, 5 677, 5 930, 5 477, 64 058, 62 078, 63 046, 66 964, 67 472,,,,,,,,
Kalimantan Timur,  156,  157,  143,  147,  145, 2 575, 2 645, 2 140, 2 301, 1 986, 23 204, 21 786, 23 877, 25 491, 26 031,,,,,,,,
Kalimantan Utara,-,-,  15,  15,  15,-,-,  240,  241,  200,-,-, 2 028, 2 099, 2 228,,,,,,,,
Sulawesi Utara,  55,  55,  58,  63,  70,  443,  489,  851,  875,  887, 8 627, 7 731, 8 733, 9 359, 10 223,,,,,,,,
Sulawesi Tengah,  259,  264,  269,  277,  275, 3 616, 3 762, 3 479, 4 169, 3 764, 28 643, 28 347, 29 444, 35 095, 35 839,,,,,,,,
Sulawesi Selatan,  668,  671,  716,  733,  729, 11 654, 11 663, 11 727, 12 165, 10 343, 70 832, 70 511, 86 139, 91 717, 93 408,,,,,,,,
Sulawesi Tenggara,  174,  205,  213,  217,  215, 1 457, 2 476, 2 809, 3 449, 2 970, 22 959, 22 657, 21 792, 28 104, 28 908,,,,,,,,
Gorontalo,  67,  67,  67,  69,  69, 1 022, 1 117, 1 087, 1 114, 1 095, 8 938, 8 928, 10 490, 10 964, 11 480,,,,,,,,
Sulawesi Barat,  135,  143,  150,  151,  154, 2 145, 2 160, 2 143, 2 319, 2 000, 11 636, 11 164, 14 770, 16 227, 17 091,,,,,,,,
Maluku,  101,  104,  110,  112,  111, 1 442, 1 447, 1 592, 1 712, 1 472, 12 007, 11 119, 13 242, 13 799, 13 872,,,,,,,,
Maluku Utara,  134,  146,  129,  126,  135, 1 479, 1 557, 1 499, 1 569, 1 727, 13 791, 13 222, 12 956, 13 673, 15 015,,,,,,,,
Papua Barat,  26,  25,  28,  26,  29,  372,  446,  378,  358,  337, 3 436, 3 660, 2 740, 3 941, 4 342,,,,,,,,
Papua,  27,  27,  25,  28,  29,  354,  354,  337,  393,  370, 2 091, 2 091, 3 647, 3 199, 3 399,,,,,,,,
Indonesia, 15 244, 15 594, 16 283, 16 741, 16 934, 311 201, 324 351, 266 278, 299 360, 265 784,2 745 022,2 781 647,2 817 027,3 158 689,3 160 685,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Source: Ministry of Religious Affairs,,,,,,,,,,,,,,,,,,,,,,,
Data were quoted from Statistical Yearbook of Indonesia,,,,,,,,,,,,,,,,,,,,,,,
