"Number of Universities 1, Students, and Lecturers (State and Private) Under Ministry of Education and Culture by Province, 2013/2014-2014/2015",,,,,,,,,,,,
,,,,,,,,,,,,
Province,2013/2014,,,,,,2014/2015,,,,,
,Number of Universities,,Number of Students,,Number of Lecturers,,Number of Universities,,Number of Students,,Number of Lecturers,
,State,Private,State,Private,State,Private,State,Private,State,Private,State,Private
Aceh,  3,  99, 49 221, 50 405, 3 361, 4 835,  7,  107, 55 658, 76 997, 2 619, 3 345
Sumatera Utara,  3,  259, 46 217, 376 445, 4 155, 10 628,  3,  266, 81 554, 329 503, 2 741, 8 287
Sumatera Barat,  5,  102, 68 382, 93 914, 3 925, 3 492,  5,  100, 66 382, 97 611, 3 119, 2 861
Riau,  2,  75, 41 991, 75 787, 2 025, 2 757,  2,  75, 36 032, 85 612, 1 196, 2 194
Jambi,  1,  42, 16 529, 35 619, 1 296, 1 443,  1,  38, 19 195, 38 543,  743, 1 017
Sumatera Selatan,  2,  115, 28 516, 133 823, 2 193, 4 168,  2,  106, 43 500, 125 525, 1 538, 2 628
Bengkulu,  1,  16, 17 212, 36 314, 1 087, 1 016,  1,  16, 18 312, 25 575,  715,  860
lampung,  2,  80, 17 920, 76 090, 1 655, 2 707,  3,  78, 26 240, 85 238, 1 307, 1 889
Kepulauan Bangka Belitung,  2,  12, 3 173, 4 773,  266,  244,  2,  15, 3 838, 6 632,  177,  296
Kepulauan Riau,  2,  26, 2 039, 23 108,  122,  950,  2,  30, 10 009, 29 170,  159,  917
DKI Jakarta,  5,  329, 570 578, 584 388, 6 006, 20 897,  5,  315, 485 699, 475 113, 2 309, 12 889
Jawa Barat,  7,  393, 138 741, 527 881, 9 067, 19 605,  12,  381, 183 165, 528 296, 6 601, 15 895
Jawa Tengah,  7,  265, 140 563, 296 357, 8 170, 11 378,  9,  248, 141 632, 335 170, 6 135, 9 293
DI Yogyakarta,  3,  124, 99 780, 181 854, 4 623, 6 826,  4,  106, 118 817, 232 476, 3 284, 4 721
Jawa Timur,  15,  363, 200 815, 565 309, 10 934, 18 088,  17,  329, 235 100, 512 852, 8 419, 12 874
Banten,  1,  113, 15 244, 117 689,  807, 4 102,  1,  109, 16 140, 153 690,  508, 3 783
Bali,  4,  58, 35 807, 51 271, 3 209, 2 500,  4,  57, 37 966, 58 761, 2 664, 1 799
Nusa Tenggara Barat,  1,  55, 18 949, 90 388, 1 437, 2 814,  1,  53, 12 600, 73 588, 1 044, 2 386
Nusa Tenggara Timur,  3,  43, 18 101, 57 233, 1 504, 1 905,  4,  50, 22 218, 48 123, 1 221, 1 724
Kalimantan Barat,  3,  42, 26 278, 43 082, 1 571, 1 335,  4,  43, 32 699, 48 880, 1 269, 1 049
Kalimantan Tengah,  1,  23, 11 604, 16 792, 1 084,  808,  1,  22, 11 535, 16 139,  786,  681
Kalimantan Selatan,  2,  47, 20 978, 55 636, 1 696, 1 723,  3,  46, 17 957, 57 363, 1 223, 1 329
Kalimantan Timur,  5,  60, 42 104, 42 101, 1 740, 1 875,  6,  54, 43 755, 56 265, 1 523, 1 512
Kalimantan Utara ,,,,,,,,,,,,
Sulawesi Utara,  4,  44, 33 891, 25 439, 3 401, 1 394,  4,  49, 45 657, 19 342, 3 047, 1 165
Sulawesi Tengah,  1,  33, 18 641, 42 307, 1 530, 1 635,  1,  34, 25 885, 41 814, 1 220, 1 427
Sulawesi Selatan,  4,  208, 64 907, 239 142, 4 681, 7 808,  4,  206, 58 607, 228 849, 3 167, 6 310
Sulawesi Tenggara,  1,  38, 18 727, 41 414, 1 330, 1 580,  2,  37, 26 912, 38 689, 1 001, 1 219
Gorontalo,  1,  11, 18 628, 16 072,  870,  621,  1,  13, 13 949, 16 644,  655,  570
Sulawesi Barat,,  12,, 17 983,,  513,  1,  17, 1 522, 12 017,  119,  372
Maluku,  3,  23, 14 822, 29 498, 1 607,  856,  3,  26, 13 995, 15 516, 1 364,  707
Maluku Utara,  1,  16, 7 113, 19 015,  567,  958,  1,  16, 10 641, 24 295,  517,  841
Papua Barat,  2,  16, 4 581, 17 135,  621,  598,  2,  22, 6 159, 20 954,  498,  471
Papua,  2,  39, 15 188, 28 083,  993, 1 323,  3,  40, 34 781, 23 066,  816,  756
Indonesia,  99, 3 181,1 827 240,4 012 347, 87 533, 143 382,  121, 3 104,1 958 111,3 938 308, 63 704, 108 067
,,,,,,,,,,,,
"Note: 1 Including institute, college, academy, and polytechnic",,,,,,,,,,,,
             2 Data for Kalimantan Utara included in Kalimantan Timur,,,,,,,,,,,,
Source: Ministry of Educations and Culture,,,,,,,,,,,,
Data cited from Static=stical Yearbook of Indonesia,,,,,,,,,,,,
