Provinsi,"Jumlah Perguruan Tinggi di Bawah Kementerian Riset, Teknologi dan Pendidikan Tinggi - Negeri","Jumlah Perguruan Tinggi di Bawah Kementerian Riset, Teknologi dan Pendidikan Tinggi - Swasta","Jumlah Perguruan Tinggi di Bawah Kementerian Riset, Teknologi dan Pendidikan Tinggi - Negeri + Swasta","Jumlah Tenaga Pendidik di Bawah Kementerian Riset, Teknologi dan Pendidikan Tinggi - Negeri","Jumlah Tenaga Pendidik di Bawah Kementerian Riset, Teknologi dan Pendidikan Tinggi - Swasta","Jumlah Tenaga Pendidik di Bawah Kementerian Riset, Teknologi dan Pendidikan Tinggi - Negeri + Swasta","Jumlah Mahasiswa di Bawah Kementerian Riset, Teknologi dan Pendidikan Tinggi - Negeri","Jumlah Mahasiswa di Bawah Kementerian Riset, Teknologi dan Pendidikan Tinggi - Swasta","Jumlah Mahasiswa di Bawah Kementerian Riset, Teknologi dan Pendidikan Tinggi - Negeri + Swasta"
Aceh,7,76,83,3360,3235,6595,80442,71132,151574
Sumatera Utara,3,195,198,2913,11709,14622,89414,314884,404298
Sumatera Barat,5,83,88,3740,3896,7636,100381,95159,195540
Riau,2,73,75,1363,3546,4909,40558,111696,152254
Jambi,1,35,36,1028,1473,2501,35387,32238,67625
Sumatera Selatan,2,89,91,1849,3971,5820,50150,88520,138670
Bengkulu,2,14,16,902,997,1899,25842,26063,51905
Lampung,3,62,65,2169,2771,4940,63869,72835,136704
Kepulauan Bangka Belitung,2,10,12,288,384,672,9176,8257,17433
Kepulauan Riau,2,29,31,438,1464,1902,18092,32112,50204
DKI Jakarta,4,246,250,4009,24676,28685,113824,654779,768603
Jawa Barat,12,355,367,7963,21976,29939,221248,635713,856961
Jawa Tengah,9,232,241,6673,14118,20791,237246,441323,678569
DI Yogyakarta,5,100,105,4893,7898,12791,145785,265004,410789
Jawa Timur,17,327,344,11423,20676,32099,383752,563499,947251
Banten,2,100,102,1509,7414,8923,1472436,215198,1687634
Bali,4,52,56,2876,3787,6663,65765,84617,150382
Nusa Tenggara Barat,1,53,54,1310,3909,5219,38881,90603,129484
Nusa Tenggara Timur,4,58,62,1576,2859,4435,59835,83243,143078
Kalimantan Barat,4,43,47,1446,1571,3017,50293,41608,91901
Kalimantan Tengah,1,24,25,878,848,1726,22092,19309,41401
Kalimantan Selatan,3,51,54,1495,2185,3680,39748,54966,94714
Kalimantan Timur,5,45,50,1897,1884,3781,49475,51865,101340
Kalimantan Utara,2,7,9,240,240,480,10783,4076,14859
Sulawesi Utara,4,44,48,2337,1445,3782,61287,35249,96536
Sulawesi Tengah,1,32,33,1321,1487,2808,51579,41444,93023
Sulawesi Selatan,5,175,180,3854,10110,13964,110836,245898,356734
Sulawesi Tenggara,2,46,48,1486,2088,3574,57848,50847,108695
Gorontalo,1,12,13,922,933,1855,29879,21332,51211
Sulawesi Barat,1,19,20,462,807,1269,16020,15982,32002
Maluku,3,26,29,1511,1077,2588,35279,25124,60403
Maluku Utara,1,22,23,740,979,1719,20199,19452,39651
Papua Barat,2,9,11,577,214,791,12913,7115,20028
Papua Barat Daya,,12,12,,718,718,,22399,22399
Papua,2,29,31,780,912,1692,49605,25027,74632
Papua Selatan,1,7,8,315,97,412,13664,2727,16391
Papua Tengah,,11,11,,259,259,,5643,5643
Papua Pegunungan,,9,9,,219,219,,7193,7193
Indonesia,125,2812,2937,80543,168832,249375,3883583,4584131,8467714
