Provinsi,Jumlah Sekolah SMK (Negeri),Jumlah Sekolah SMK (Swasta),Jumlah Sekolah SMK (Negeri+Swasta),Jumlah Guru SMK (Negeri),Jumlah Guru SMK (Swasta),Jumlah Guru SMK (Negeri+Swasta),Jumlah Murid SMK (Negeri),Jumlah Murid SMK (Swasta),Jumlah Murid SMK (Negeri+Swasta)
Aceh,154,70,224,6573,726,7299,47064,7659,54723
Sumatera Utara,279,674,953,11212,9749,20961,137491,156825,294316
Sumatera Barat,116,100,216,5893,1260,7153,73840,11779,85619
Riau,139,171,310,5601,2953,8554,71023,35646,106669
Jambi,108,75,183,3528,896,4424,37809,10550,48359
Sumatera Selatan,121,194,315,5931,2910,8841,80225,47328,127553
Bengkulu,65,38,103,2656,385,3041,24368,3207,27575
Lampung,112,380,492,5488,5181,10669,71535,82617,154152
Kepulauan Bangka Belitung,36,23,59,1352,364,1716,19604,5175,24779
Kepulauan Riau,38,68,106,1811,769,2580,30822,9067,39889
DKI Jakarta,73,483,556,3490,8130,11620,58159,138100,196259
Jawa Barat,288,2634,2922,18326,38948,57274,349760,708862,1058622
Jawa Tengah,239,1308,1547,16996,28710,45706,303453,519577,823030
DI Yogyakarta,50,157,207,3196,2966,6162,52370,38090,90460
Jawa Timur,299,1861,2160,21302,27337,48639,352073,433914,785987
Banten,98,639,737,4604,9477,14081,94428,161479,255907
Bali,58,111,169,3636,2018,5654,55988,38645,94633
Nusa Tenggara Barat,100,241,341,5796,2439,8235,56212,22192,78404
Nusa Tenggara Timur,178,177,355,6361,3139,9500,57309,39908,97217
Kalimantan Barat,120,115,235,3826,1129,4955,57640,17824,75464
Kalimantan Tengah,94,45,139,2607,591,3198,26818,6010,32828
Kalimantan Selatan,64,62,126,3087,1062,4149,44019,13063,57082
Kalimantan Timur,88,128,216,3604,1808,5412,55536,29082,84618
Kalimantan Utara,22,12,34,773,135,908,9644,917,10561
Sulawesi Utara,94,98,192,3058,955,4013,31186,11149,42335
Sulawesi Tengah,107,76,183,3264,726,3990,31647,9210,40857
Sulawesi Selatan,168,238,406,7811,2378,10189,86042,29983,116025
Sulawesi Tenggara,103,67,170,3901,632,4533,27916,4824,32740
Gorontalo,40,19,59,1464,269,1733,13092,2097,15189
Sulawesi Barat,60,68,128,2002,547,2549,17736,5810,23546
Maluku,84,37,121,2241,512,2753,15089,5678,20767
Maluku Utara,63,88,151,1448,617,2065,9251,9153,18404
Papua Barat,16,5,21,552,105,657,5193,1426,6619
Papua Barat Daya,16,23,39,556,262,818,5441,3490,8931
Papua,35,14,49,993,299,1292,9364,3976,13340
Papua Selatan,21,4,25,633,61,694,6343,639,6982
Papua Tengah,17,37,54,512,502,1014,5457,5765,11222
Papua Pegunungan,12,10,22,151,124,275,2235,2526,4761
Indonesia,3775,10550,14325,176235,161071,337306,2433182,2633242,5066424
