Provinsi,Jumlah Sekolah SMA (Negeri),Jumlah Sekolah SMA (Swasta),Jumlah Sekolah SMA (Negeri+Swasta),Jumlah Guru SMA (Negeri),Jumlah Guru SMA (Swasta),Jumlah Guru SMA (Negeri+Swasta),Jumlah Murid SMA (Negeri),Jumlah Murid SMA (Swasta),Jumlah Murid SMA (Negeri+Swasta)
Aceh,395,148,543,12829,1473,14302,122127,19563,141690
Sumatera Utara,438,637,1075,16545,8117,24662,252462,141731,394193
Sumatera Barat,238,107,345,9653,1240,10893,142600,14673,157273
Riau,321,160,481,10597,2074,12671,154469,25232,179701
Jambi,163,89,252,5197,794,5991,73129,10765,83894
Sumatera Selatan,330,290,620,12140,3335,15475,173505,51402,224907
Bengkulu,110,43,153,4073,333,4406,53559,2936,56495
Lampung,240,298,538,9322,3202,12524,133517,48197,181714
Kepulauan Bangka Belitung,47,30,77,1534,371,1905,28276,4992,33268
Kepulauan Riau,96,82,178,3115,811,3926,50817,8945,59762
DKI Jakarta,117,387,504,5049,7065,12114,88259,101884,190143
Jawa Barat,514,1306,1820,26885,17673,44558,541246,301514,842760
Jawa Tengah,362,506,868,18396,7698,26094,347588,115960,463548
DI Yogyakarta,69,106,175,2568,1556,4124,44057,18682,62739
Jawa Timur,421,1095,1516,21353,13634,34987,358942,200372,559314
Banten,161,449,610,6596,6138,12734,147612,81320,228932
Bali,90,71,161,4876,1017,5893,78094,14111,92205
Nusa Tenggara Barat,150,228,378,8034,2115,10149,101205,20460,121665
Nusa Tenggara Timur,397,221,618,12830,4253,17083,142570,58230,200800
Kalimantan Barat,292,191,483,7119,1877,8996,104524,30123,134647
Kalimantan Tengah,182,66,248,4584,694,5278,57290,6656,63946
Kalimantan Selatan,143,67,210,4304,748,5052,62605,7426,70031
Kalimantan Timur,146,95,241,4427,1155,5582,71034,13566,84600
Kalimantan Utara,49,22,71,1233,263,1496,17242,2631,19873
Sulawesi Utara,121,108,229,3665,918,4583,49737,12926,62663
Sulawesi Tengah,177,61,238,5314,581,5895,72634,6949,79583
Sulawesi Selatan,337,274,611,13276,2719,15995,193112,35470,228582
Sulawesi Tenggara,254,64,318,8814,519,9333,88188,4771,92959
Gorontalo,62,9,71,1911,109,2020,30073,1211,31284
Sulawesi Barat,77,16,93,2389,91,2480,28967,1387,30354
Maluku,216,76,292,5533,1110,6643,57642,11137,68779
Maluku Utara,139,86,225,3446,591,4037,36392,9191,45583
Papua Barat,45,21,66,1062,316,1378,13742,3499,17241
Papua Barat Daya,50,31,81,1101,352,1453,11106,3541,14647
Papua,62,56,118,1630,766,2396,23108,10946,34054
Papua Selatan,24,16,40,723,203,926,10463,3358,13821
Papua Tengah,31,29,60,723,366,1089,12244,5380,17624
Papua Pegunungan,47,21,68,652,235,887,10860,4033,14893
Indonesia,7113,7562,14675,263498,96512,360010,3984997,1415170,5400167
